client_id,site_url,business_type,phone,years_in_business,primary_city_1,zip_1,response_time_1,primary_city_2,zip_2,response_time_2,primary_city_3,zip_3,response_time_3,secondary_cities,services,competitors,location_code,min_search_volume,state,county
beaver-valley-janitorial-supply,https://bvjanitorial.com/,Cleaning Supplies,(724) 375-8666,15+,Beaver,15009,,Butler,16001,,Pittsburgh,15201,,Aliquippa;Monaca;Ambridge;Chippewa Township;Moon Township;Cranberry Township;Sewickley;Robinson Township;New Brighton;Rochester,janitorial_supplies;cleaning_products;commercial_cleaning_supplies;floor_cleaning_supplies,colkerjanitorial.com;rssupplyllc.com;cintas.com,1023967,30,PA,Beaver County
c_kalcevic_roofing,https://ckalcevicroofing.com/,Roofing Contractor,(724) 494-5614,25+,Beaver Falls,15010,,Beaver,15009,,New Brighton,15066,,Chippewa Township;Patterson Township;Rochester;Monaca;Aliquippa,Residential_Roofing;Commercial_Roofing;Roof_Repair; Roof_Replacement;Storm_Damage_Repairs;Emergency_Roof_Repair,neillandsonroofing.com;bradleysroofing.com;hhiroofinginc.com,1023967,60,PA,Beaver County
clearwater_aquariums,https://www.clearwaternc.com/,Aquarium Design & Maintenance,(919) 872-7171,30+,Raleigh,27615,,Cary,27513,,Durham,27701,,Wake Forest;Apex;Morrisville;Holly Springs;Garner,Aquarium_Design;Custom_Aquariums;Aquarium_Installation;Aquarium_Maintenance;Aquarium_Relocation;Saltwater_Aquariums;Freshwater_Aquariums,aquascapesnc.com; aquaticcreationsgroup.com;oceancarerelocation.com,1026152,30,NC,Wake County
road_home_rescue,https://roadhomerescue.com/,Dog Rescue / Animal Rescue Organization,(919) 851-4435,20+,Raleigh,27601,,Cary,27518,,Durham,27701,,Apex;Wake Forest;Morrisville;Garner;Chapel Hill,Dog_Rescue;Dog_Adoption;Animal_Shelter_Services;Dog_Rehabilitation;Dog_Foster_Programs,secondchancenc.org;savinggracenc.org;pipsrescue.org,1026152,30,NC,Wake County
the_fish_room,https://www.thefishroom.net/,Aquarium Store,(919) 501-7774,15+,Raleigh,27616,,Cary,27511,,Charlotte,28277,,Durham;Apex;Wake Forest;Morrisville;Garner,Freshwater_Fish;Saltwater_Fish;Live_Coral;Aquatic_Plants;Aquarium_Supplies,aquariumoutfitterscarolina.com;aquaticcreationsgroup.com,1026152,30,NC,Wake County
tomei_janitorial,https:/tomeijanitorial.com/,Commercial Janitorial & Cleaning Services,(724) 378-9321,15+,Aliquippa,15001,,Beaver Falls,15010,,Monaca,15061,,Ambridge;Rochester;New Brighton;Center Township;Chippewa Townshi,Commercial_Cleaning;Office_Cleaning;Window_Cleaning;Carpet_Cleaning;Floor_Refinishing;Power_Washing,maidonthespot.com;snowywhitedrycleaners.com;jubileecleaning.co,1023967,30,PA,Beaver County
top_shelf_golf_nc,https://topshelfgolfnc.com/,Golf Club Fitting & Golf Performance Services,(919) 515-6527,10+,Raleigh,27607,,Cary,27513,,Durham,27701,,Apex;Wake Forest;Morrisville;Chapel Hill;Garner,Custom_Golf_Club_Fitting;Driver_Fitting;Iron_Fitting;Putter_Fitting;Wedge_Fitting;Golf_Swing_Analysis,continentalgolf.net;golftec.com/golf-lessons/north-raleigh;clubchampion.com/locations/cary/,1026152,30,NC,Wake County
lees_fresh_market,https://leesfreshmarketnc.com/,Butcher Shop,(919) 894-2587,10+,Benson,27504,,Four Oaks,27524,,Dunn,28334,,Smithfield;Angier;Clayton;Selma;Garner,Fresh_Meat_Market;Butcher_Shop;Custom_Meat_Processing;Beef_&_Pork_Cuts;Bulk_Meat_Packages,thecarolinabutchershop.com;primebrothersbutchershoppe.com;theorganicbutchershop.com,1026152,50,NC,Johnston County
raleigh_digital,https://www.raleighdigital.com/,Digital Marketing Agency,(891) 989-1191,18+,Raleigh,27601,,Durham,27701,,Cary,27513,,Apex;Wake Forest;Morrisville;Chapel Hill;Garner,SEO_Services;Local_SEO;PPC_Management;Web_Design_&_Development;Shopify_SEO;Conversion_Rate_Optimization,theedigital.com;trimarkdigital.com;bos.digital,1026152,50,NC,Wake County
carolina_wildlife_removal,https://carolinawildliferemoval.com/,Wildlife Removal,(919) 896-4278,15+,Raleigh,27601,,Cary,27513,,Morrisville,27560,,Apex;Holly Springs;Wendell;Wake Forest;Garner,"Wildlife_Removal;Bat_Removal;Squirrel_Removal,;Raccoon_Removal;Honey_Bee_Removal;Dead_Animal_Removal;Wildlife_Exclusion",batmanwildlife.com;southernwildlifeandland.com;trianglewildliferemoval.com,1026152,50,NC,Wake County
carolina_recreation,https://carolina-recreation.com/,Commercial Playground Equipment & Recreation Design,(704) 664-1833,10+,Mooresville,28117,,Charlotte,28202,,Raleigh,27601,,North Carolina;South Carolina;Virginia;Tennessee;Georgia,Commercial_Playground_Equipment;Playground_Design;Playground_Installation;Splash_Pads;Shade_Structures;Park_&_Site_Amenities,backyardplayground.net;rainbowplayofnc.com;woodplaync.com,1026153,30,NC,Iredell County
kees_outer_banks,https://www.keesouterbanks.com/,Vacation Rental & Property Management,866-316-1843,10+,Kill Devil Hills,27948,,Nags Head,27959,,Kitty Hawk,27949,,Corolla;Duck;Hatteras;Manteo;Rodanthe;Salvo;Buxton;Frisc,Vacation_Rentals;Property_Management;Outer_Banks_Rentals;Wedding_&_Event_Rentals;Beach_Equipment_Rentals,surforsound.com;hatterasrealty.com;midgettrealty.com,1021078,200,NC,Dare County
capitol_pain,https://capitolpain.com/,Pain Management Clinic,844-562-0518,15+,Austin,78757,,Austin (South),78749,,Bee Cave,78738,,Cedar Park;Georgetown;Bastrop;San Marcos;Killeen;Marble Falls,Epidural_Steroid_Injections;Vertiflex_Procedure;Radiofrequency_Ablation;Spinal_Cord_Stimulation;Discography;Chronic_Pain_Treatment,texaspainclinic.com;advancedpaincare.com;painmanagementaustin.com,1026481,500,TX,Travis County
uni_k_wax,https://www.unikwax.com/,Hair Removal Services,N/A,30+,Miami,33101,,New York,10001,,New Jersey,7302,,Florida;Texas;Arizona;Connecticut;Colorado;Michigan,Brazilian_Wax;Bikini_Wax;Facial_Waxing;Body_Waxing;Men’s_Waxing;After_Care_Products,SugaringNYC.com;waxcenter.com;amazinglashstudio.com,1025890,200,FL,Miami-Dade County
clara_dermatology,https://claradermatology.com/,Dermatology Clinic (Medical & Cosmetic),919-655-3929,4+,Cary,27519,,Raleigh,27601,,Durham,27701,,Chapel Hill;Morrisville;Apex;Holly Springs;Wake Forest,Medical_Dermatology;Cosmetic_Dermatology;Botox_&_Neurotoxins;Dermal_Fillers;Laser_Treatments;Microneedling;Chemical_Peels,noorderm.com;centraldermcenter.com;caryskincenter.com,1026259,200,NC,Wake County
hester_grady_hester,https://hghgp.com/,Law Firm / Legal Services,(910) 862-3191,100+,Elizabethtown,28337,,Wilmington,28401,,Whiteville,28472,,Bladenboro;Clarkton;Leland;Southport;Shallotte,Personal_Injury_Law;Civil_Litigation;Criminal_Defense;Family_&_Divorce_Law;Workers_Compensation;Social_Security_Disability;Real_Estate_Law;Estate_Planning,ldridgelawgroup.com;elizabethtownfamilylaw.com;humphrieslaw.org,9058796,100,NC,Bladen County
whilden_boutique,https://www.shopwhilden.com/,Women's Boutique Clothing Store,(919) 240-5491,9+,Chapel Hill,27514,,Durham,27701,,Raleigh,27601,,Carrboro;Hillsborough;Cary;Apex;Morrisville,Women's_Clothing_Boutique;Designer_Dresses;Women's_Tops_&_Sweaters;Jewelry_&_Accessories;Shoes;Handbags,uniquities.com;shopatrumors.com;sofiasboutique.us,1026231,100,NC,Orange County
locallab,https://locallab.io/,Reputation Management & Review Automation Software,(888) 123-4567,3+,Raleigh,27601,,Durham,27701,,Cary,27513,,Wake Forest;Apex;Morrisville;Holly Springs;Garner,Review_Management_Software;Google_Review_Automation;Customer_Feedback_System;SMS_Review_Requests;Reputation_Management,redsharkdigital.com;reputationmanagementinc.com;onlinereputationmanage.com,1026152,200,NC,Wake County
